"Timestamp","skin_texture","fight_winner","music","allergies","vocabulary","sculpting"
"2024/10/17 2:04:46 pm CET","sleek like silk","a thousand chickens","doot-doot, tap-tap, wa-wa,","No","do","spag bol (the british version of tagliatelle w ragu)"
"2024/10/17 2:08:26 pm CET","sleek like silk","you","no","No","vocabulary?","love"
"2024/10/17 2:08:33 pm CET","furry like a woolen rug","a thousand chickens","doot-doot, tap-tap, wa-wa,","No","lengthy","fish?"
"2024/10/17 2:09:02 pm CET","furry like a woolen rug","a thousand chickens","doof doof doof","Yes","vocabulary?","fish?"
"2024/10/17 2:09:56 pm CET","sleek like silk","you","doof doof doof","Yes","vocabulary?","love"
"2024/10/17 2:10:45 pm CET","sleek like silk","you","ratatatat","No","do","fish?"
"2024/10/17 2:10:56 pm CET","furry like a woolen rug","a thousand chickens","womp squelch bzzzz","No","you","love"
"2024/10/17 2:11:07 pm CET","waxy like a lemon","you","no","No","vocabulary?","love"
"2024/10/17 2:11:30 pm CET","kind of spiky like a samegawa wasabi grater","a thousand chickens","doot-doot, tap-tap, wa-wa,","No","do","conceptual gubbins"
"2024/10/17 2:11:35 pm CET","sleek like silk","you","ratatatat","Yes","do","conceptual gubbins"
"2024/10/17 2:12:24 pm CET","sleek like silk","a thousand chickens","doof doof doof","No","prefer","spag bol (the british version of tagliatelle w ragu)"
"2024/10/17 2:12:25 pm CET","furry like a woolen rug","a thousand chickens","ratatatat","Yes","vocabulary?","fish?"
"2024/10/17 2:16:48 pm CET","sleek like silk","a thousand chickens","doot-doot, tap-tap, wa-wa,","No","do","love"
"2024/10/17 2:18:04 pm CET","sleek like silk","a thousand chickens","doot-doot, tap-tap, wa-wa,","Yes","you","love"
"2024/10/17 8:32:42 pm CET","sleek like silk","a thousand chickens","ratatatat","No","do","fish?"
"2024/10/20 2:48:11 pm CET","sleek like silk","you","","Yes","",""
"2024/10/22 10:23:13 am CET","","a lion","no","Yes","do","spag bol (the british version of tagliatelle w ragu)"
